邓丽君怀旧音乐「飞鸿制作」,#genre#
車迷TV,https://tv.iill.top/4gtv/4gtv-live201
金光布袋戲,https://tv.iill.top/4gtv/4gtv-live144
原住民族電視台,https://tv.iill.top/4gtv/4gtv-live014
客家電視台,https://tv.iill.top/4gtv/4gtv-4gtv043
人間衛視,https://tv.iill.top/4gtv/4gtv-live008
ETtoday綜合台,https://tv.iill.top/FainTV/146
MOMO運動綜合台,https://tv.iill.top/FainTV/14009
歡樂看新聞,https://tv.iill.top/FainTV/19670
歡樂兒童台,https://tv.iill.top/FainTV/22768
台灣啟示錄,https://tv.iill.top/FainTV/18254
大愛電視,https://tv.iill.top/4gtv/4gtv-live007
大愛二台,https://tv.iill.top/4gtv/4gtv-live106
好消息,https://tv.iill.top/4gtv/litv-ftv16
好消息2台,https://tv.iill.top/4gtv/litv-ftv17
國會頻道1,https://tv.iill.top/4gtv/4gtv-4gtv084
國會頻道2,https://tv.iill.top/4gtv/4gtv-4gtv085
東森購物一台,https://tv.iill.top/4gtv/4gtv-live047
東森購物二台,https://tv.iill.top/4gtv/4gtv-live046
東森購物三台,https://tv.iill.top/4gtv/4gtv-live048
東森購物四台,https://tv.iill.top/4gtv/4gtv-live0499
新唐人亞太台,https://tv.iill.top/4gtv/4gtv-live050

體育「新飞鸿制作」,#genre#
Eurosport 1,https://hls.iill.top/api/Eurosport-1/index.m3u8
Eurosport 2,https://hls.iill.top/api/Eurosport-2/index.m3u8
TNT Sports 1 HD,https://hls.iill.top/api/TNT-Sports-1/index.m3u8
TNT Sports 2 HD,https://hls.iill.top/api/TNT-Sports-2/index.m3u8
TNT Sports 3 HD,https://hls.iill.top/api/TNT-Sports-3/index.m3u8
TNT Sports 4 HD,https://hls.iill.top/api/TNT-Sports-4/index.m3u8
beIN Sports HD,https://hls.iill.top/api/beIN-Sports-1/index.m3u8
beIN Sports 2 HD,https://hls.iill.top/api/beIN-Sports-2/index.m3u8
beIN Sports 3,https://hls.iill.top/api/beIN-Sports-3/index.m3u8
beIN Sports 4,https://hls.iill.top/api/beIN-Sports-4/index.m3u8
